# Diccionario HSK1 · una palabra por línea
# hanzi <TAB> pinyin <TAB> español <TAB> tema en que aparece
# Las palabras compuestas (你好, 中国人…) van también, para que el texto se
# pueda trocear en palabras y cada una sea clicable.
你	nǐ	tú	1
好	hǎo	bien, bueno	1
你好	nǐ hǎo	hola	1
您	nín	usted	1
您好	nín hǎo	hola (formal)	1
你们	nǐmen	vosotros	1
你们好	nǐmen hǎo	hola a todos	1
对不起	duìbuqǐ	lo siento, perdón	1
没关系	méi guānxi	no pasa nada	1
谢谢	xièxie	gracias	2
不	bù	no	2
不谢	bú xiè	de nada	2
不客气	bú kèqi	de nada, no hay de qué	2
再见	zàijiàn	adiós, hasta luego	2
叫	jiào	llamarse	3
什么	shénme	qué	3
名字	míngzi	nombre	3
我	wǒ	yo	3
是	shì	ser	3
老师	lǎoshī	profesor, profesora	3
吗	ma	(partícula de pregunta)	3
学生	xuésheng	estudiante	3
人	rén	persona	3
中国	Zhōngguó	China	3
中国人	Zhōngguó rén	chino, china (persona)	3
美国	Měiguó	Estados Unidos	3
美国人	Měiguó rén	estadounidense	3
她	tā	ella	4
他	tā	él	4
谁	shéi	quién	4
的	de	de (posesivo)	4
汉语	Hànyǔ	chino (idioma)	4
哪	nǎ	qué, cuál	4
国	guó	país	4
呢	ne	¿y…? (partícula)	4
同学	tóngxué	compañero de clase	4
朋友	péngyou	amigo, amiga	4
家	jiā	casa, familia	5
有	yǒu	tener, haber	5
口	kǒu	(clasificador de miembros de la familia)	5
女儿	nǚ'ér	hija	5
几	jǐ	cuántos	5
岁	suì	años (de edad)	5
了	le	(partícula de cambio o acción terminada)	5
今年	jīnnián	este año	5
多	duō	mucho; cuán	5
大	dà	grande; mayor	5
多大	duō dà	qué edad	5
零	líng	cero	5
一	yī	uno	5
二	èr	dos	5
三	sān	tres	5
四	sì	cuatro	5
五	wǔ	cinco	5
六	liù	seis	5
七	qī	siete	5
八	bā	ocho	5
九	jiǔ	nueve	5
十	shí	diez	5
会	huì	saber (hacer algo); poder que ocurra	6
说	shuō	hablar, decir	6
妈妈	māma	mamá, madre	6
菜	cài	plato, comida	6
中国菜	Zhōngguó cài	comida china	6
很	hěn	muy	6
好吃	hǎochī	rico, sabroso	6
做	zuò	hacer; cocinar	6
写	xiě	escribir	6
汉字	Hànzì	carácter chino	6
字	zì	carácter, letra	6
怎么	zěnme	cómo	6
读	dú	leer (en voz alta)	6
这个	zhège	este, esta	6
请	qǐng	por favor; invitar	7
请问	qǐngwèn	disculpe, una pregunta	7
今天	jīntiān	hoy	7
号	hào	día (del mes)	7
月	yuè	mes	7
星期	xīngqī	semana	7
星期几	xīngqījǐ	qué día de la semana	7
星期一	xīngqīyī	lunes	7
星期二	xīngqī'èr	martes	7
星期三	xīngqīsān	miércoles	7
星期四	xīngqīsì	jueves	7
星期五	xīngqīwǔ	viernes	7
星期六	xīngqīliù	sábado	7
星期日	xīngqīrì	domingo	7
星期天	xīngqītiān	domingo	7
昨天	zuótiān	ayer	7
明天	míngtiān	mañana (día)	7
去	qù	ir	7
学校	xuéxiào	escuela	7
看	kàn	mirar, ver; leer	7
书	shū	libro	7
看书	kàn shū	leer (libros)	7
想	xiǎng	querer; pensar	8
喝	hē	beber	8
茶	chá	té	8
